industry,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Advertising & Marketing Services,,,,1,,,,3,6,1
Advertising Agencies,,,,,,,,5,5,
Aerospace & Defense,,,15,12,8,19,33,50,133,68
Aerospace/Defense,,,3,,,,,,,
Agricultural Inputs,,,,,,,,3,3,2
Agriculture,,,,1,3,8,21,9,14,1
Airlines,,,6,,1,1,3,5,78,34
Apparel Manufacturing,,,,,1,,,3,6,2
Apparel Retail,,,,,,,,,,1
Application Software,,,40,20,74,32,42,95,533,367
Asset Management,,1,6,15,17,15,17,32,145,79
Auto & Truck Dealerships,,,,,,,,,,9
Auto Manufacturers,,,,,,,,,10,10
Auto Parts,,,,,,,,1,2,3
Automotive,,,,1,,,,,,
Autos,,,11,5,7,28,41,10,105,97
Banking,,,1,,,,,,,
Banks,,,27,35,43,70,72,97,304,140
Banks - Regional,,,,,,2,,,,
Banks--Diversified,,,,,,,,,,1
Banks—Diversified,,,,,,,,,18,1
Banks—Regional,,,,,,1,1,11,38,15
Beverages,,,,,,,,,1,
Beverages - Alcoholic,,,3,8,4,4,9,10,32,16
Beverages - Non-Alcoholic,,,6,3,3,8,10,20,43,31
Beverages – Alcoholic,,,,,,1,,1,,
Beverages—Brewers,,,,,,1,,1,,
Beverages—Non-Alcoholic,,,,,,,,3,6,5
Biotechnology,,,14,22,33,37,29,42,137,71
Broadcasting,,,,,,,4,,,
Brokers & Exchanges,,,8,2,3,9,12,12,134,107
Building Materials,,,,3,5,1,11,3,17,8
Building Products & Equipment,,,,,,,,,11,11
Business Services,,,2,5,2,22,33,34,115,67
Capital Markets,,,,,,,,,,2
Chemicals,2,4,13,8,36,61,26,50,143,74
Coal,,,1,,,,,,,
Communication Equipment,,,2,15,7,10,21,15,68,33
Communication Services,,,23,9,11,34,16,45,165,119
Computer Hardware,,,23,24,28,31,42,58,295,200
Computer Software & Services,,,3,7,,,,,,
Confectioners,,,,,,,,,,1
Conglomerates,,,,,1,,,,8,4
Congolmerates,,,,,,,,,2,
Consulting & Outsourcing,,,2,18,12,,4,9,33,26
Consulting Services,,,,,,,,3,2,3
Consumer Electronics,,,,,,,,,1,7
Consumer NonDurables,,,,1,,,,,,
Consumer Packaged Goods,,,18,17,22,36,30,53,159,84
Credit Services,,,8,9,9,13,7,16,127,118
Cryptocurrency,,,,,,,,,,23
Defense,,,,6,,,,,,
Diagnostics & Research,,,,,,,,1,14,6
Discount Stores,,,,,,,,,,1
Diversified Financial Services,,,,,,,,,,1
Diversified Services,,,,4,,7,,1,10,1
Drug Manufacturers,,,13,22,35,71,41,40,201,100
Drug Manufacturers - Specialty & Generic,,,,,,,,,1,1
Drug Manufacturers—General,,,2,,,3,2,10,18,14
Drug Manufacturers—Speciality and Generic,,,,,,,,,,1
Drug Manufacturers—Specialty & Generic,,,,,,,,1,27,20
Education,,,1,,,,,2,4,5
Electric Utilities,,,,,,,,,1,
Electrical Equipment & Parts,,,,,,,,5,12,9
Electronic Components,,,,,,1,,1,,
Electronic Gaming & Multimedia,,,,,,1,,,4,20
Electronics,,,2,3,1,1,,,,
Employment Services,,,,,,1,,2,6,3
Energy,,,3,3,2,,,,3,1
Energy & Utilities,,,,1,,,,,,
Engineering & Construction,,,,2,2,5,,8,31,20
Entertainment,,,17,48,40,56,117,75,172,98
Farm & Construction Machinery,,,3,6,4,2,3,2,19,39
Farm & Heavy Construction Machinery,,,,,,,,9,8,5
Farm Products,,,,,,,,,1,
Financial Conglomerates,,,,,,,,1,1,1
Financial Data & Stock Exchanges,,,,,,,,,7,1
Financial Services,,,,,,,,,1,
Food Distribution,,,,,1,,,,,
Food stores,,,,,,,,,2,
Footwear & Accessories,,,,,,,,2,2,3
Forest Products,,,2,,,,4,1,2,6
Fund,,1,42,43,28,20,25,67,531,299
"Furnishings, Fixtures & Appliances",,,,,,,,1,1,2
Gambling,,,,,,,,,24,7
Gold,,,,,,,,,,1
Grocery Stores,,,,,,,,,10,3
Hardware,,,,,,,,,,3
Health Care Equipment & Supplies,,,,,,,2,,,
Health Care Plans,,,9,3,8,12,14,19,64,49
Health Care Providers,,,,,,,2,6,30,22
Health Information Services,,,,,,,,4,26,5
Health Services,,,,3,,3,,,,
Healthcare Plans,,,,,,,,1,1,3
Home Improvement Retail,,,,,,,,,2,4
Homebuilding & Construction,,,,,,1,,12,17,9
Household & Personal Products,,,,,,4,,9,2,5
IT Services,,,,,,,,,2,
Industrial Distribution,,,1,,3,,2,5,30,5
Industrial Products,,,23,14,19,28,20,35,197,150
Information Technology Services,,,,,1,,1,,6,5
Infrastructure Operations,,,,,,,3,6,4,
Insurance,,,4,1,,1,2,13,86,67
Insurance - Life,,,6,1,7,8,4,4,37,19
Insurance - Property & Casualty,,,2,3,4,4,5,13,53,42
Insurance - Specialty,,,2,,,,,5,8,11
Insurance Brokers,,,,,,,,,,4
Insurance—Diversified,,,,,3,3,4,2,14,5
Insurance—Life,,,,,,,,8,6,10
Insurance—Property & Casualty,,,,,,,,,2,9
Insurance—Reinsurance,,,,,,,,,2,
Insurance—Specialty,,,3,2,,,,,,1
Integrated Freight & Logistics,,,,,,,,,3,
Internet,,,4,,,,,,,
Internet Content & Information,,,,,,,,7,17,33
Internet Retail,,,,,,,,1,,19
Leisure,,,1,1,1,,,2,13,20
Lodging,,,,,,,,5,6,3
Luxury Goods,,,,1,,1,,3,12,1
Major Pharmaceutical Preparations,,,,,,,,,2,3
Manufacturing - Apparel & Furniture,,,12,12,16,26,16,22,48,28
Marine Shipping,,,,,,,,,2,1
Media,,,,13,,,,,,
Medical Devices,,,,6,10,10,21,17,111,74
Medical Diagnostics & Research,,,4,7,17,11,8,29,120,68
Medical Distribution,,,6,1,3,2,,,7,8
Medical Instruments & Equipment,,,5,19,30,8,6,17,74,32
Medical Instruments & Supplies,,,,,,,,3,8,5
Metals & Mining,,,1,1,1,1,,13,27,77
Mortgage Finance,,,,,,,,,,2
Oil & Gas - Drilling,,,2,1,,1,,2,,2
Oil & Gas - E&P,,,7,33,13,17,29,36,50,52
Oil & Gas - Integrated,,,6,6,5,15,21,26,106,45
Oil & Gas - Midstream,,,4,33,46,24,48,65,285,226
Oil & Gas - Refining & Marketing,,,2,2,2,,8,7,70,36
Oil & Gas - Services,,,7,8,4,10,6,16,43,28
Oil & Gas E&P,,,,,,,,,4,2
Oil & Gas Equipment & Services,,,,,,,,,4,8
Oil & Gas Integrated,,,,,1,1,4,6,13,6
Oil & Gas Midstream,,,,,,,2,4,28,23
Oil & Gas Refining & Marketing,,,,1,,,,,2,
Oil and Gas,,,,,3,,,,,
"Oil, Gas, & Consumable Fuels",,,,,,1,,,,
Online Media,,,23,5,22,15,16,25,154,152
Other Industrial Metals & Mining,,,,,,1,,,1,2
Other Precious Metals & Mining,,,,,,,,,,1
Packaged Foods,,,2,,2,3,3,16,32,10
Packaging & Containers,,,3,6,,8,12,21,61,23
Paper & Paper Products,,,,,,,,,,5
Personal Services,,,,,,5,6,2,20,11
Publishing,,,1,,,,,1,3,6
REITs,,,9,4,11,16,3,60,160,92
REIT—Diversified,,,,,,,,,1,1
REIT—Healthcare Facilities,,,,,,,,,6,
REIT—Hotel & Motel,,,,,,,,,1,1
REIT—Retail,,,,,,,,2,,
Railroads,,,,,,,,,2,2
Real Estate,,,3,1,,,,,1,1
Real Estate Services,,,,1,,,,1,32,40
Real Estate—Development,,,,,,,,,2,
Real Estate—Diversified,,,,,,,,,2,
Residential Construction,,,,,,,,,3,
Resorts & Casinos,,,,,,,,,,2
Restaurants,,,7,6,10,14,8,18,90,42
Retail,,,,1,8,14,,,,
Retail - Apparel & Specialty,,,19,20,15,45,42,53,275,206
Retail - Defensive,,,3,7,10,32,28,26,192,80
Scientific & Technical Instruments,,,,,,1,,1,3,5
Security & Protection Services,,,,,1,,2,1,3,4
Semiconductor Equipment & Materials,,,,,,,,,2,3
Semiconductors,,,15,14,16,55,35,68,352,206
Shell Companies,,,1,,,,,,22,16
Software,,,,,,,,2,6,6
Software - Application,,,,,,,,,2,2
Software—Application,,,,,,,,11,38,49
Software—Infrastructure,,,,,,,,3,34,38
Solar,,,,,,,,,2,
Specialty Business Services,,,,,,,,,1,2
Specialty Chemicals,,,,,,1,2,7,23,17
Specialty Industrial Machinery,,,,,,3,2,8,53,22
Specialty Retail,,,,,7,1,,,4,10
Specialty Telecommunications,,,,,,,,,,2
Staffing & Employment Services,,,,,,,,,1,
Steel,,,,,1,,,2,3,11
Telecom Services,,,,,,3,,1,20,17
Telecommunication Services,,,,,,,,,2,
Telecommunications,,,,1,,1,,,2,
Textile Manufacturing,,,,,,,,,1,
Tobacco,,,,,1,1,,,6,
Tobacco Products,,,1,,1,3,,7,32,16
Tools & Accessories,,,,,,,,3,1,
Transportation & Logistics,,,12,6,10,9,22,38,80,70
Travel & Leisure,,,3,2,6,23,11,38,88,61
Travel Services,,,,,,,1,4,26,20
Truck Manufacturing,,,2,1,,,,,6,3
Trust,,,1,1,,,,6,6,9
Utilities,,,,2,1,,,,,
Utilities - Independent Power Producers,,,,,,,,1,7,11
Utilities - Regulated,,,12,10,10,21,8,18,176,80
Utilities - Regulated Water,,,,,,,,,1,
Utilities--Regulated Electric,,,,,,1,,,,
Utilities—Diversified,,,,,,,,,5,
Utilities—Regulated Electric,,,,,,,,,2,1
Utilities—Regulated Gas,,,,,,,,,5,3
Utilities—Regulated Water,,,,,,,,,2,
Utilities—Renewable,,,,,,,,3,6,3
Waste Management,,,4,1,7,1,,2,23,3
